Hungate_id|Hungate_id_ori|number_id|kingdom|phylum|class|order|family|genus|species|species_strain|level_covered|Family/Order|Genus/Species|Strain|Culture_collection|Origin|Comments|References|Source
Genome_HUN426|HUN426|1|Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Actinomyces|Actinomyces denticolens|Actinomyces denticolens_PA|7|Actinomycetaceae|Actinomyces denticolens|PA||Cow rumen/NZ|||
Genome_HUN297|HUN297|2|Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Actinomyces|Actinomyces nasicola|Actinomyces nasicola_KPR-1|7|Actinomycetaceae|Actinomyces nasicola|KPR-1||Cow rumen/NZ|||
Genome_HUN301|HUN301|3|Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Actinomyces|Actinomyces ruminicola|Actinomyces ruminicola_KPR-7B|7|Actinomycetaceae|Actinomyces ruminicola|KPR-7B||Cow rumen/NZ|||
Genome_HUN439|HUN439|4|Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Actinomyces|Actinomyces ruminicola|Actinomyces ruminicola_B71|7|Actinomycetaceae|Actinomyces ruminicola|B71|DSM 27982|Cow rumen/China|Type strain|[1]|DSMZ
Genome_HUN333|HUN333|5|Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae|Olsenella||Olsenella_KH1P3|6|Atopobiaceae|Olsenella sp.|KH1P3||Cow rumen/NZ|Olsenella umbonata 94%||
Genome_HUN359|HUN359|6|Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae|Olsenella||Olsenella_KH2P3|6|Atopobiaceae|Olsenella sp.|KH2P3||Cow rumen/NZ|Olsenella scatoligenes 99%||
Genome_HUN417|HUN417|7|Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae|Olsenella||Olsenella_KH3B4|6|Atopobiaceae|Olsenella sp.|KH3B4||Cow rumen/NZ|Olsenella scatoligenes 99%||
Genome_HUN279|HUN279|8|Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae|Olsenella|Olsenella umbonata|Olsenella umbonata_A2|7|Atopobiaceae|Olsenella umbonata|A2|DSM 22619|Sheep rumen/UK||[2]|DSMZ
Genome_HUN421|HUN421|9|Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae|Olsenella|Olsenella umbonata|Olsenella umbonata_WCP15|7|Atopobiaceae|Olsenella umbonata|WCP15||Cow rumen/NZ|||
Genome_HUN413|HUN413|10|Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae|Olsenella|Olsenella umbonata|Olsenella umbonata_KHGC19|7|Atopobiaceae|Olsenella umbonata|KHGC19||Cow rumen/NZ|||
Genome_HUN186|HUN186|11|Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Bifidobacterium adolescentis|Bifidobacterium adolescentis_RU424|7|Bifidobacteriaceae|Bifidobacterium adolescentis|RU424|DSM 20087|Cow rumen/Italy||[3]|DSMZ
Genome_HUN437|HUN437|12|Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Bifidobacterium bifidum|Bifidobacterium bifidum_Calf96|7|Bifidobacteriaceae|Bifidobacterium bifidum|Calf96||Calf faeces/NZ|||
Genome_HUN187|HUN187|13|Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Bifidobacterium boum|Bifidobacterium boum_RU917|7|Bifidobacteriaceae|Bifidobacterium boum|RU917|DSM 20432|Cow rumen/Italy|Type strain|[4]|DSMZ
Genome_HUN447|HUN447|14|Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Bifidobacterium breve|Bifidobacterium breve_RP2|7|Bifidobacteriaceae|Bifidobacterium breve|RP2||Calf faeces/NZ|||
Genome_HUN013|HUN013|15|Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Bifidobacterium choerinum|Bifidobacterium choerinum_AGR2158|7|Bifidobacteriaceae|Bifidobacterium choerinum|AGR2158||Calf faeces/NZ||[5]|
Genome_HUN014|HUN014|16|Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Bifidobacterium longum subsp. suis|Bifidobacterium longum subsp. suis_AGR2137|7|Bifidobacteriaceae|Bifidobacterium longum subsp. suis|AGR2137||Calf faeces/NZ||[5]|
Genome_HUN183|HUN183|17|Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Bifidobacterium merycicum|Bifidobacterium merycicum_RU915B|7|Bifidobacteriaceae|Bifidobacterium merycicum|RU915B|DSM 6492|Cow rumen/Italy|Type strain|[6]|DSMZ
Genome_HUN015|HUN015|18|Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Bifidobacterium pseudolongum subsp. globosum|Bifidobacterium pseudolongum subsp. globosum_AGR2145|7|Bifidobacteriaceae|Bifidobacterium pseudolongum subsp. globosum|AGR2145||Calf faeces/NZ||[5]|
Genome_HUN184|HUN184|19|Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Bifidobacterium pseudolongum subsp. globosum|Bifidobacterium pseudolongum subsp. globosum_RU224|7|Bifidobacteriaceae|Bifidobacterium pseudolongum subsp. globosum|RU224|DSM 20092|Cow rumen/Italy|Type strain|[3]|DSMZ
Genome_HUN188|HUN188|20|Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Bifidobacterium ruminantium|Bifidobacterium ruminantium_RU687|7|Bifidobacteriaceae|Bifidobacterium ruminantium|RU687|DSM 6489|Cow rumen/Italy|Type strain|[6]|DSMZ
Genome_HUN189|HUN189|21|Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Bifidobacterium thermophilum|Bifidobacterium thermophilum_RU326|7|Bifidobacteriaceae|Bifidobacterium thermophilum|RU326|DSM 20212|Cow rumen/Italy||[3]|DSMZ
Genome_HUN336|HUN336|22|Bacteria|Actinobacteria|Micrococcales|Cellulomonadaceae|Cellulomonadaceae|Cellulomonas||Cellulomonas_KH9|6|Cellulomonadaceae|Cellulomonas sp.|KH9||Cow rumen/NZ|||
Genome_HUN176|HUN176|23|Bacteria|Actinobacteria|Actinobacteria|Corynebacteriales|Corynebacteriaceae|Corynebacterium|Corynebacterium vitaeruminis|Corynebacterium vitaeruminis_Ga6A13|7|Corynebacteriaceae|Corynebacterium vitaeruminis|Ga6A13||Cow rumen/NZ|||
Genome_HUN221|HUN221|24|Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Denitrobacterium|Denitrobacterium detoxificans|Denitrobacterium detoxificans_NPOH1|7|Eggerthellaceae|Denitrobacterium detoxificans |NPOH1|DSM 21843|Cow rumen/USA|Type strain|[8]|DSMZ
Genome_HUN381|HUN381|25|Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Micrococcus|Micrococcus luteus|Micrococcus luteus_VTM4R57|7|Micrococcaceae|Micrococcus luteus|VTM4R57||Moose rumen/USA|||Dr. A. Wright
Genome_HUN337|HUN337|26|Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcineae|||Micrococcineae_KH10|5|Micrococcineae|Micrococcineae bacterium|KH10||Cow rumen/NZ|Luteimicrobium album 95%||
Genome_HUN178|HUN178|27|Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|||Propionibacteriaceae_P6A17|5|Propionibacteriaceae|Propionibacteriaceae bacterium|P6A17||Cow rumen/NZ|Tessaracoccus flavescens 96%||
Genome_HUN393|HUN393|28|Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Propionibacterium|Propionibacterium acnes|Propionibacterium acnes_NLAE-zl-G260|7|Propionibacteriaceae|Propionibacterium acnes |NLAE-zl-G260||Goat faeces enrichment/USA|Now Cutibacterium acnes||Dr. T. Atherley
Genome_HUN140|HUN140|29|Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Propionibacterium||Propionibacterium_MB3007|6|Propionibacteriaceae|Propionibacterium sp.|MB3007||Cow rumen/NZ||[8]|
Genome_HUN338|HUN338|30|Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Ruaniaceae|||Ruaniaceae_KH17|5|Ruaniaceae|Ruaniaceae bacterium|KH17||Cow rumen/NZ|Haloactinobacterium album 93%||
Genome_HUN170|HUN170|31|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales||||Bacteroidales_Ga6A2|4|Bacteroidales|Bacteroidales bacterium|Ga6A2||Cow rumen/NZ|Bacteroides rodentium 90%||
Genome_HUN171|HUN171|32|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales||||Bacteroidales_Ga6A1|4|Bacteroidales|Bacteroidales bacterium|Ga6A1||Cow rumen/NZ|Bacteroides rodentium 90%||
Genome_HUN327|HUN327|33|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales||||Bacteroidales_WCE2008|4|Bacteroidales |Bacteroidales bacterium|WCE2008||Cow rumen/NZ|RC-9 gut group. Alistipes shahii 84%|[8]|
Genome_HUN366|HUN366|34|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales||||Bacteroidales_WCE2004|4|Bacteroidales|Bacteroidales bacterium|WCE2004||Cow rumen/NZ|RC-9 gut group. Alistipes senegalensis 84%|[8]|
Genome_HUN435|HUN435|35|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales||||Bacteroidales_KHT7|4|Bacteroidales|Bacteroidales bacterium|KHT7||Cow rumen/NZ|Bacteroides uniformis 90%||
Genome_HUN237|HUN237|36|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides||Bacteroides_AR20|6|Bacteroidaceae|Bacteroides sp.|AR20||Sheep rumen/Australia||[9]|Dr. R. Gilbert/Dr. A. Klieve
Genome_HUN238|HUN238|37|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides||Bacteroides_AR29|6|Bacteroidaceae|Bacteroides sp.|AR29||Sheep rumen/Australia||[9]|Dr. R. Gilbert/Dr. A. Klieve
Genome_HUN449|HUN449|38|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides ovatus|Bacteroides ovatus_NLAE-zl-C57|7|Bacteroidaceae|Bacteroides ovatus|NLAE-zl-C57||Cow faeces enrichment/USA||[10]|Dr. T. Atherley
Genome_HUN462|HUN462|39|Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides ovatus|Bacteroides ovatus_NLAE-zl-C500|7|Bacteroidaceae|Bacteroides ovatus|NLAE-zl-C500||Cow faeces enrichment/USA||[10]|Dr. T. Atherley
